====================================================================================================
PE STRICT CURVE RESEARCH
CANDLES: 7951
PATTERN EVENTS: 1882

====================================================================================================
FINAL PE STRICT CURVE RESULTS
PE5_FULL_STAIR+STRONG | NEXT 5 | SIGNALS 55 | WINS 26 | RATE 47.27 % | AVG MFE 0.1368 % | AVG MAE 0.1119 %
PE3_FULL_STAIR+STRONG | NEXT 3 | SIGNALS 500 | WINS 236 | RATE 47.2 % | AVG MFE 0.101 % | AVG MAE 0.1004 %
PE4_FULL_STAIR+NEAR_LOW | NEXT 1 | SIGNALS 193 | WINS 91 | RATE 47.15 % | AVG MFE 0.062 % | AVG MAE 0.0641 %
PE4_FULL_STAIR+NEAR_LOW | NEXT 5 | SIGNALS 193 | WINS 91 | RATE 47.15 % | AVG MFE 0.1257 % | AVG MAE 0.1242 %
PE5_FULL_STAIR+EMA | NEXT 3 | SIGNALS 87 | WINS 41 | RATE 47.13 % | AVG MFE 0.0989 % | AVG MAE 0.1113 %
PE5_FULL_STAIR+EMA | NEXT 5 | SIGNALS 87 | WINS 41 | RATE 47.13 % | AVG MFE 0.1333 % | AVG MAE 0.1316 %
PE3_FULL_STAIR+EMA | NEXT 3 | SIGNALS 539 | WINS 254 | RATE 47.12 % | AVG MFE 0.1028 % | AVG MAE 0.101 %
PE3_STRICT_ALL | NEXT 3 | SIGNALS 276 | WINS 130 | RATE 47.1 % | AVG MFE 0.0993 % | AVG MAE 0.0985 %
PE5_FULL_STAIR+ACCEL | NEXT 1 | SIGNALS 49 | WINS 23 | RATE 46.94 % | AVG MFE 0.0559 % | AVG MAE 0.0647 %
PE4_FULL_STAIR+EMA | NEXT 1 | SIGNALS 228 | WINS 107 | RATE 46.93 % | AVG MFE 0.0648 % | AVG MAE 0.0591 %
PE4_LOWER_CLOSE+EMA | NEXT 5 | SIGNALS 536 | WINS 250 | RATE 46.64 % | AVG MFE 0.1274 % | AVG MAE 0.1274 %
PE3_FULL_STAIR+NEAR_LOW | NEXT 5 | SIGNALS 536 | WINS 250 | RATE 46.64 % | AVG MFE 0.1235 % | AVG MAE 0.1301 %
PE5_LOWER_CLOSE | NEXT 5 | SIGNALS 387 | WINS 180 | RATE 46.51 % | AVG MFE 0.1241 % | AVG MAE 0.1263 %
PE4_FULL_STAIR+EMA | NEXT 3 | SIGNALS 228 | WINS 106 | RATE 46.49 % | AVG MFE 0.1012 % | AVG MAE 0.0991 %
PE4_FULL_STAIR+STRONG | NEXT 5 | SIGNALS 183 | WINS 85 | RATE 46.45 % | AVG MFE 0.1314 % | AVG MAE 0.1196 %
PE4_LOWER_CLOSE | NEXT 3 | SIGNALS 868 | WINS 403 | RATE 46.43 % | AVG MFE 0.0937 % | AVG MAE 0.0996 %
PE4_FULL_STAIR | NEXT 1 | SIGNALS 321 | WINS 149 | RATE 46.42 % | AVG MFE 0.0601 % | AVG MAE 0.0611 %
PE4_LOWER_CLOSE+EMA | NEXT 1 | SIGNALS 536 | WINS 248 | RATE 46.27 % | AVG MFE 0.059 % | AVG MAE 0.0593 %
PE4_LOWER_CLOSE | NEXT 1 | SIGNALS 868 | WINS 401 | RATE 46.2 % | AVG MFE 0.0545 % | AVG MAE 0.0588 %
PE4_FULL_STAIR+STRONG+EMA | NEXT 3 | SIGNALS 130 | WINS 60 | RATE 46.15 % | AVG MFE 0.1001 % | AVG MAE 0.0962 %
PE4_FULL_STAIR+STRONG+EMA | NEXT 5 | SIGNALS 130 | WINS 60 | RATE 46.15 % | AVG MFE 0.129 % | AVG MAE 0.1203 %
PE3_FULL_STAIR | NEXT 3 | SIGNALS 865 | WINS 399 | RATE 46.13 % | AVG MFE 0.0975 % | AVG MAE 0.1006 %
PE5_FULL_STAIR | NEXT 3 | SIGNALS 111 | WINS 51 | RATE 45.95 % | AVG MFE 0.0967 % | AVG MAE 0.1079 %
PE5_FULL_STAIR | NEXT 5 | SIGNALS 111 | WINS 51 | RATE 45.95 % | AVG MFE 0.1283 % | AVG MAE 0.1284 %
PE5_FULL_STAIR+ACCEL+EMA | NEXT 1 | SIGNALS 37 | WINS 17 | RATE 45.95 % | AVG MFE 0.0571 % | AVG MAE 0.0689 %
PE5_FULL_STAIR+ACCEL+EMA | NEXT 3 | SIGNALS 37 | WINS 17 | RATE 45.95 % | AVG MFE 0.0949 % | AVG MAE 0.1013 %
PE4_LOWER_CLOSE+EMA | NEXT 3 | SIGNALS 536 | WINS 246 | RATE 45.9 % | AVG MFE 0.0982 % | AVG MAE 0.1015 %
PE3_FULL_STAIR+NEAR_LOW+EMA | NEXT 3 | SIGNALS 338 | WINS 155 | RATE 45.86 % | AVG MFE 0.1021 % | AVG MAE 0.1013 %
PE5_LOWER_CLOSE+EMA | NEXT 3 | SIGNALS 258 | WINS 118 | RATE 45.74 % | AVG MFE 0.0982 % | AVG MAE 0.1037 %
PE5_LOWER_CLOSE | NEXT 3 | SIGNALS 387 | WINS 176 | RATE 45.48 % | AVG MFE 0.0938 % | AVG MAE 0.1039 %
PE5_LOWER_CLOSE | NEXT 1 | SIGNALS 387 | WINS 174 | RATE 44.96 % | AVG MFE 0.0555 % | AVG MAE 0.0602 %
PE4_FULL_STAIR | NEXT 3 | SIGNALS 321 | WINS 144 | RATE 44.86 % | AVG MFE 0.098 % | AVG MAE 0.1014 %
PE5_STRICT_ALL | NEXT 5 | SIGNALS 29 | WINS 13 | RATE 44.83 % | AVG MFE 0.1339 % | AVG MAE 0.1152 %
PE4_FULL_STAIR+STRONG | NEXT 3 | SIGNALS 183 | WINS 82 | RATE 44.81 % | AVG MFE 0.1013 % | AVG MAE 0.0977 %
PE4_STRICT_ALL | NEXT 5 | SIGNALS 114 | WINS 51 | RATE 44.74 % | AVG MFE 0.1228 % | AVG MAE 0.1213 %
PE3_FULL_STAIR+NEAR_LOW | NEXT 3 | SIGNALS 536 | WINS 237 | RATE 44.22 % | AVG MFE 0.0963 % | AVG MAE 0.1031 %
PE5_LOWER_CLOSE+EMA | NEXT 1 | SIGNALS 258 | WINS 114 | RATE 44.19 % | AVG MFE 0.0588 % | AVG MAE 0.0601 %
PE4_FULL_STAIR+NEAR_LOW+EMA | NEXT 3 | SIGNALS 136 | WINS 60 | RATE 44.12 % | AVG MFE 0.0987 % | AVG MAE 0.097 %
PE4_FULL_STAIR+ACCEL+EMA | NEXT 3 | SIGNALS 111 | WINS 48 | RATE 43.24 % | AVG MFE 0.0978 % | AVG MAE 0.0987 %
PE4_FULL_STAIR+ACCEL+EMA | NEXT 5 | SIGNALS 111 | WINS 48 | RATE 43.24 % | AVG MFE 0.1177 % | AVG MAE 0.1277 %
PE5_FULL_STAIR+ACCEL+EMA | NEXT 5 | SIGNALS 37 | WINS 16 | RATE 43.24 % | AVG MFE 0.1238 % | AVG MAE 0.1248 %
PE4_STRICT_ALL | NEXT 3 | SIGNALS 114 | WINS 49 | RATE 42.98 % | AVG MFE 0.0981 % | AVG MAE 0.0984 %
PE4_FULL_STAIR+ACCEL | NEXT 5 | SIGNALS 161 | WINS 69 | RATE 42.86 % | AVG MFE 0.1153 % | AVG MAE 0.1264 %
PE5_FULL_STAIR+NEAR_LOW+EMA | NEXT 1 | SIGNALS 47 | WINS 20 | RATE 42.55 % | AVG MFE 0.0537 % | AVG MAE 0.0696 %
PE5_FULL_STAIR+NEAR_LOW+EMA | NEXT 3 | SIGNALS 47 | WINS 20 | RATE 42.55 % | AVG MFE 0.0897 % | AVG MAE 0.103 %
PE5_FULL_STAIR+NEAR_LOW+EMA | NEXT 5 | SIGNALS 47 | WINS 20 | RATE 42.55 % | AVG MFE 0.13 % | AVG MAE 0.1257 %
PE4_FULL_STAIR+NEAR_LOW | NEXT 3 | SIGNALS 193 | WINS 82 | RATE 42.49 % | AVG MFE 0.0949 % | AVG MAE 0.1028 %
PE5_FULL_STAIR | NEXT 1 | SIGNALS 111 | WINS 47 | RATE 42.34 % | AVG MFE 0.056 % | AVG MAE 0.067 %
PE4_FULL_STAIR+ACCEL | NEXT 3 | SIGNALS 161 | WINS 66 | RATE 40.99 % | AVG MFE 0.0945 % | AVG MAE 0.0997 %
PE5_FULL_STAIR+ACCEL | NEXT 3 | SIGNALS 49 | WINS 20 | RATE 40.82 % | AVG MFE 0.0897 % | AVG MAE 0.1051 %
PE5_FULL_STAIR+NEAR_LOW | NEXT 1 | SIGNALS 59 | WINS 24 | RATE 40.68 % | AVG MFE 0.0525 % | AVG MAE 0.0667 %
PE5_FULL_STAIR+EMA | NEXT 1 | SIGNALS 87 | WINS 35 | RATE 40.23 % | AVG MFE 0.0562 % | AVG MAE 0.071 %
PE5_FULL_STAIR+NEAR_LOW | NEXT 3 | SIGNALS 59 | WINS 23 | RATE 38.98 % | AVG MFE 0.0878 % | AVG MAE 0.0982 %
PE5_FULL_STAIR+NEAR_LOW | NEXT 5 | SIGNALS 59 | WINS 23 | RATE 38.98 % | AVG MFE 0.1242 % | AVG MAE 0.1213 %
PE5_FULL_STAIR+ACCEL | NEXT 5 | SIGNALS 49 | WINS 18 | RATE 36.73 % | AVG MFE 0.1128 % | AVG MAE 0.1306 %
